"id","space_id","device_info_id","created_at","updated_at"
"1499","21","14","3/10/2018 15:44:20","3/10/2018 15:44:20"
"1500","21","15","3/10/2018 15:44:20","3/10/2018 15:44:20"
"1501","17","2","3/10/2018 15:44:26","3/10/2018 15:44:26"
"1502","17","9","3/10/2018 15:44:26","3/10/2018 15:44:26"
"1503","17","14","3/10/2018 15:44:26","3/10/2018 15:44:26"
"1504","17","15","3/10/2018 15:44:26","3/10/2018 15:44:26"
"1572","31","2","28/10/2018 15:28:20","28/10/2018 15:28:20"
"1573","31","10","28/10/2018 15:28:20","28/10/2018 15:28:20"
"1574","31","14","28/10/2018 15:28:20","28/10/2018 15:28:20"
"1575","31","15","28/10/2018 15:28:20","28/10/2018 15:28:20"
"1576","41","2","28/10/2018 15:30:51","28/10/2018 15:30:51"
"1577","41","14","28/10/2018 15:30:51","28/10/2018 15:30:51"
"1578","41","15","28/10/2018 15:30:51","28/10/2018 15:30:51"
"1579","51","2","28/10/2018 15:31:27","28/10/2018 15:31:27"
"1580","51","14","28/10/2018 15:31:27","28/10/2018 15:31:27"
"1581","51","15","28/10/2018 15:31:27","28/10/2018 15:31:27"
"1636","135","2","31/10/2018 17:52:20","31/10/2018 17:52:20"
"1637","135","9","31/10/2018 17:52:20","31/10/2018 17:52:20"
"1638","135","14","31/10/2018 17:52:20","31/10/2018 17:52:20"
"1639","135","15","31/10/2018 17:52:20","31/10/2018 17:52:20"
"1640","134","2","31/10/2018 17:52:23","31/10/2018 17:52:23"
"1641","134","9","31/10/2018 17:52:23","31/10/2018 17:52:23"
"1642","134","14","31/10/2018 17:52:23","31/10/2018 17:52:23"
"1643","134","15","31/10/2018 17:52:23","31/10/2018 17:52:23"
"1647","133","2","31/10/2018 17:52:25","31/10/2018 17:52:25"
"1648","133","14","31/10/2018 17:52:25","31/10/2018 17:52:25"
"1649","133","15","31/10/2018 17:52:25","31/10/2018 17:52:25"
"1650","132","2","31/10/2018 17:52:27","31/10/2018 17:52:27"
"1651","132","9","31/10/2018 17:52:27","31/10/2018 17:52:27"
"1652","132","14","31/10/2018 17:52:27","31/10/2018 17:52:27"
"1653","132","15","31/10/2018 17:52:27","31/10/2018 17:52:27"
"1654","131","2","31/10/2018 17:52:30","31/10/2018 17:52:30"
"1655","131","14","31/10/2018 17:52:30","31/10/2018 17:52:30"
"1656","131","15","31/10/2018 17:52:30","31/10/2018 17:52:30"
"1672","139","2","8/11/2018 09:00:07","8/11/2018 09:00:07"
"1673","139","9","8/11/2018 09:00:07","8/11/2018 09:00:07"
"1674","139","14","8/11/2018 09:00:07","8/11/2018 09:00:07"
"1675","139","15","8/11/2018 09:00:07","8/11/2018 09:00:07"
"1676","138","2","8/11/2018 09:00:09","8/11/2018 09:00:09"
"1677","138","9","8/11/2018 09:00:09","8/11/2018 09:00:09"
"1678","138","14","8/11/2018 09:00:09","8/11/2018 09:00:09"
"1679","138","15","8/11/2018 09:00:09","8/11/2018 09:00:09"
"1680","137","2","8/11/2018 09:00:11","8/11/2018 09:00:11"
"1681","137","14","8/11/2018 09:00:11","8/11/2018 09:00:11"
"1682","137","15","8/11/2018 09:00:11","8/11/2018 09:00:11"
"1691","136","2","8/11/2018 11:03:42","8/11/2018 11:03:42"
"1692","136","9","8/11/2018 11:03:42","8/11/2018 11:03:42"
"1693","136","14","8/11/2018 11:03:42","8/11/2018 11:03:42"
"1694","136","15","8/11/2018 11:03:43","8/11/2018 11:03:43"
"1695","3","2","19/12/2018 14:56:54","19/12/2018 14:56:54"
"1696","3","14","19/12/2018 14:56:54","19/12/2018 14:56:54"
"1697","3","15","19/12/2018 14:56:54","19/12/2018 14:56:54"
"1698","141","2","25/12/2018 12:43:53","25/12/2018 12:43:53"
"1699","141","9","25/12/2018 12:43:53","25/12/2018 12:43:53"
"1700","141","14","25/12/2018 12:43:53","25/12/2018 12:43:53"
"1701","141","15","25/12/2018 12:43:53","25/12/2018 12:43:53"
"1702","140","2","25/12/2018 12:43:54","25/12/2018 12:43:54"
