id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
3146,78768,136,10,1,,25FEB19:21:48:37,25FEB19:21:48:37,19,0,4
3147,90919,137,10,1,HDMI投影線，有時會沒聲音,25FEB19:21:50:05,25FEB19:21:50:05,19,0,13
3148,91924,132,7,1,這間會議室的投影螢幕布幕有問題，拉下來時很不容易固定，會一直往上回彈。希望能修理。還有上次反映的沙發凹陷問題。,25FEB19:21:52:06,25FEB19:21:52:06,1,0,2
3149,86215,69,7,1,如果坐墊可以換成和式椅就太完美了。..廁所數量太少。,25FEB19:21:54:07,25FEB19:21:54:07,7,0,8
3150,93281,116,10,1,,25FEB19:21:56:08,25FEB19:21:56:08,7,0,2
3151,93458,116,10,1,,25FEB19:21:56:31,25FEB19:21:56:31,7,0,2
3152,93466,116,10,1,,25FEB19:21:56:57,25FEB19:21:56:57,7,0,2
3153,89778,71,9,1,,25FEB19:22:50:19,25FEB19:22:50:19,6,1,9
3154,86055,138,9,1,,25FEB19:23:58:59,25FEB19:23:58:59,14,0,12
3155,92046,135,10,0,,26FEB19:01:25:45,26FEB19:01:25:45,14,1,20
3156,93044,6,10,1,,26FEB19:13:53:55,26FEB19:13:53:55,2,0,15
3157,91113,102,9,1,,26FEB19:18:33:45,26FEB19:18:33:45,6,1,2
3158,88860,146,10,1,場地很棒，但小小建議可以在每間教室的外面設置一個小小看版讓辦活動的單位可以張貼或放置小海報，比較能讓與會人員一目瞭解在哪一間進行活動。感謝你們整理、提供這麼好又方便的場地。,26FEB19:18:39:29,26FEB19:18:39:29,7,1,10
3159,93473,68,10,1,,26FEB19:18:54:10,26FEB19:18:54:10,7,1,11
3160,93623,89,10,1,,26FEB19:19:55:38,26FEB19:19:55:38,18,0,1
3161,93453,72,5,0,"空間不錯, 但是所有的電源插座均為舊式二孔,  電腦與充電器均無法使用. 十分不便",26FEB19:23:34:37,26FEB19:23:34:37,7,0,1
3162,89982,15,3,1,有焚燒物品的味道，對煙味敏感的人可能會感到不適。,27FEB19:09:12:37,27FEB19:09:12:37,7,0,10
3163,92747,101,1,1,隔音需加強，B太容易受到A（好像是小樹屋工作人員辦公室）的干擾，很吵,27FEB19:10:49:04,27FEB19:10:49:04,6,0,2
3164,92750,88,6,1,隔音再加強會更好,27FEB19:10:49:41,27FEB19:10:49:41,6,0,2
3165,86040,138,5,1,我們開會過程接到了2通抱怨電話，我們在裡面正常開會而已，就被說太大聲是否隔音效果有問題？如果是這樣就真的不能太租借貴公司的空間了,27FEB19:13:05:05,27FEB19:13:05:05,1,0,15
3166,86040,138,5,1,我們開會過程接到了2通抱怨電話，我們在裡面正常開會而已，就被說太大聲是否隔音效果有問題？如果是這樣就真的不能太租借貴公司的空間了,27FEB19:13:05:06,27FEB19:13:05:06,1,0,15
3167,86040,138,5,1,我們開會過程接到了2通抱怨電話，我們在裡面正常開會而已，就被說太大聲是否隔音效果有問題？如果是這樣就真的不能太租借貴公司的空間了,27FEB19:13:05:10,27FEB19:13:05:10,1,0,15
3168,89493,19,1,0,投影機的線太短，根本無法接筆電，真是太離譜了！害我急急忙忙四處找附近的朋友借調投影機，完全不推薦！,27FEB19:14:54:46,27FEB19:14:54:46,11,1,4
3169,81269,84,8,1,,27FEB19:17:12:41,27FEB19:17:12:41,2,0,3
3170,93717,128,8,1,窗戶無法完全關起來，導致噪音較大,27FEB19:19:17:10,27FEB19:19:17:10,18,0,1
3171,93901,69,1,0,當天貴公司隔壁房間家具搬移未注意音量，一小時中非常吵鬧，在門外對話音量也極大，導致無法正常使用空間。,27FEB19:19:26:31,27FEB19:19:26:31,3,0,1
3172,93916,76,6,1,設備齊全，但使用久了空氣會不流通、去完洗手間再進去可以明顯感受到空氣品質不太好（冷氣開26的情況）,27FEB19:19:50:01,27FEB19:19:50:01,1,0,3
3173,93208,88,10,1,,28FEB19:08:32:00,28FEB19:08:32:00,7,0,5
3174,93387,129,10,1,,28FEB19:18:35:25,28FEB19:18:35:25,14,0,5
3175,92364,116,9,1,,28FEB19:18:36:36,28FEB19:18:36:36,6,1,2
3176,94220,83,10,1,,28FEB19:21:08:12,28FEB19:21:08:12,1,0,2
3177,88756,83,8,1,超過9點還有阿姨在吸地...影響我的課程開始，實在不妥,01MAR19:03:20:10,01MAR19:03:20:10,11,1,5
3178,94058,147,10,1,,01MAR19:18:49:27,01MAR19:18:49:27,14,1,7
3179,90893,135,10,1,小樹屋整體超棒....希望未來教室有裝設茶水飲水機..以及有更多20人的分組座位式教育訓練教室空間..就更棒了！,01MAR19:22:47:42,01MAR19:22:47:42,11,1,16
3180,94391,141,7,0,不知道是不是沒有冷媒，冷氣好像不太冷喲?..當天天氣不錯，所以有開冷氣，但發現不太冷！..其它一切都還不錯喲!..謝謝！,01MAR19:23:22:30,01MAR19:23:22:30,4,1,10
3181,89060,74,9,1,,02MAR19:16:43:18,02MAR19:16:43:18,1,1,10
3182,89060,74,9,1,,02MAR19:16:43:19,02MAR19:16:43:19,1,1,10
3183,93597,131,10,1,,02MAR19:18:35:37,02MAR19:18:35:37,19,0,3
3184,93158,112,8,0,乾淨度ok，隔音可改善，外面的人講話或在走廊時房間裡的人講話都聽得到。,02MAR19:22:44:24,02MAR19:22:44:24,19,1,2
3185,90322,130,10,1,喜歡這個空間~ 讚!,02MAR19:23:13:44,02MAR19:23:13:44,7,1,9
3186,94668,150,9,1,,03MAR19:09:18:35,03MAR19:09:18:35,2,0,4
3187,95087,157,7,1,有看到白板下有一隻蛛蛛,03MAR19:18:38:19,03MAR19:18:38:19,1,0,2
3188,95088,160,9,1,房型較長未來可配備延長線接插座太遠或不足問題,03MAR19:18:40:19,03MAR19:18:40:19,19,0,2
3189,95089,158,7,1,,03MAR19:18:41:37,03MAR19:18:41:37,1,0,2
3190,95090,155,8,1,窗戶無窗廉 較無隱私,03MAR19:18:42:31,03MAR19:18:42:31,1,0,2
3191,90920,137,10,1,建議可以提供手機usb充電孔,03MAR19:21:26:59,03MAR19:21:26:59,19,0,1
3192,90920,137,10,1,建議可以提供手機usb充電孔,03MAR19:21:27:00,03MAR19:21:27:00,19,0,1
3193,90920,137,10,1,建議可以提供手機usb充電孔,03MAR19:21:27:01,03MAR19:21:27:01,19,0,1
3194,90920,137,10,1,建議可以提供手機usb充電孔,03MAR19:21:27:01,03MAR19:21:27:01,19,0,1
3195,90920,137,10,1,建議可以提供手機usb充電孔,03MAR19:21:27:02,03MAR19:21:27:02,19,0,1
3196,78769,136,10,1,投影機HDMI線無法傳輸聲音,03MAR19:21:28:07,03MAR19:21:28:07,19,1,12
3197,95160,11,10,1,超讚的場地,03MAR19:23:11:30,03MAR19:23:11:30,1,0,2
3198,93728,64,10,1,椅子太少??,04MAR19:00:40:36,04MAR19:00:40:36,11,0,10
3199,94716,143,10,1,,04MAR19:01:06:34,04MAR19:01:06:34,7,0,8
3200,94141,12,9,1,期待能有飲用水的機制。,04MAR19:09:12:57,04MAR19:09:12:57,7,0,8
3201,93827,16,9,1,桌椅太舊，手靠在桌子上就會發出聲音。,04MAR19:10:29:03,04MAR19:10:29:03,1,0,10
3202,94191,81,8,1,空間很棒!,04MAR19:13:37:23,04MAR19:13:37:23,7,0,7
3203,89446,128,10,1,,04MAR19:14:15:50,04MAR19:14:15:50,7,1,4
3204,94951,81,10,0,環境很棒,04MAR19:17:30:08,04MAR19:17:30:08,1,0,8
3205,95198,160,8,1,,04MAR19:18:31:12,04MAR19:18:31:12,19,0,1
3206,92171,118,7,1,,04MAR19:18:43:36,04MAR19:18:43:36,19,0,1
3207,95328,154,6,1,冷氣溫度似乎無法調整變高  溫度一直偏低  ....要整個按掉才感受溫度回升,04MAR19:20:24:38,04MAR19:20:24:38,19,0,1
3208,94348,25,6,1,沒有礦泉水可取用，也沒有麥克風,04MAR19:20:35:51,04MAR19:20:35:51,11,1,20
3209,93282,117,10,1,,04MAR19:21:30:17,04MAR19:21:30:17,14,0,2
3210,94618,102,7,1,以兩人來說空間略小,04MAR19:21:31:11,04MAR19:21:31:11,14,0,2
3211,95325,112,9,1,空間舒適..但可能因為沒有窗戶空氣不流通..稍有異味,04MAR19:21:32:19,04MAR19:21:32:19,14,0,2
3212,90628,62,3,1,投影機畫面非常不清楚,04MAR19:23:06:42,04MAR19:23:06:42,9,0,12
3213,94719,143,10,1,,05MAR19:16:41:09,05MAR19:16:41:09,7,0,7
